id,autor,orden,aff,aid,pais,orcid
journal-article-10.2307_24562159,"smith, j. walker",1,NA,NA,NA,0000-0003-4304-1980
journal-article-10.2307_24572845,"keele, luke j.",1,NA,NA,NA,NA
journal-article-10.2307_24572845,"titiunik, rocío",2,NA,NA,NA,NA
journal-article-10.2307_24572970,"street, alex",1,NA,NA,NA,0000-0001-6790-3798
journal-article-10.2307_24572970,"murray, thomas a.",2,NA,NA,NA,0000-0003-2769-4957
journal-article-10.2307_24572970,"blitzer, john",3,NA,NA,NA,NA
journal-article-10.2307_24572970,"patel, rajan s.",4,NA,NA,NA,0000-0003-3192-8189
journal-article-10.2307_24573066,"hammer, michael j.",1,NA,NA,NA,0000-0002-0981-4647
journal-article-10.2307_24573066,"banks, antoine j.",2,NA,NA,NA,NA
journal-article-10.2307_24573066,"white, ismail k.",3,NA,NA,NA,NA
journal-article-10.2307_24573819,"macdonald, bruce w.",1,NA,NA,NA,NA
journal-article-10.2307_24573819,"ferguson, charles d.",2,NA,NA,NA,NA
journal-article-10.2307_24575963,"mccormick, ty",1,NA,NA,NA,NA
journal-article-10.2307_24576014,"leetaru, kalev",1,NA,NA,NA,NA
journal-article-10.2307_24577365,"harris, shane",1,NA,NA,NA,0000-0002-1965-3904
journal-article-10.2307_24577365,"castelao, leandro",2,NA,NA,NA,NA
journal-article-10.2307_24577426,"ho, peter",1,NA,NA,NA,0000-0002-5834-0628
journal-article-10.2307_24577426,"ho, peter",1,NA,NA,NA,0000-0003-4962-6808
journal-article-10.2307_24577427,"schwenke, chloe",1,NA,NA,NA,0000-0003-4503-8566
journal-article-10.2307_24577466,"rothkopf, david",1,NA,NA,NA,NA
journal-article-10.2307_24577466,"chase, matt",2,NA,NA,NA,NA
journal-article-10.2307_24577694,"rothkopf, david",1,NA,NA,NA,NA
journal-article-10.2307_24577908,"larson, christina",1,NA,NA,NA,0000-0003-2952-5778
journal-article-10.2307_24577908,"larson, christina",1,NA,NA,NA,0000-0002-9957-3217
journal-article-10.2307_24577908,"chow, stefen",2,NA,NA,NA,NA
journal-article-10.2307_24579865,"darmon, isabelle",1,NA,NA,NA,0000-0002-8498-0514
journal-article-10.2307_24579865,"frade, carlos",2,NA,NA,NA,0000-0002-7655-8858
journal-article-10.2307_24582958,"wilkerson, john",1,NA,NA,NA,0000-0001-6107-3455
journal-article-10.2307_24582958,"smith, david",2,NA,NA,NA,0000-0003-0370-353X
journal-article-10.2307_24582958,"stramp, nicholas",3,NA,NA,NA,0000-0003-4516-2081
journal-article-10.2307_24583053,"fraga, bernard l.",1,NA,NA,NA,0000-0001-9907-4883
journal-article-10.2307_24583171,"aronova, elena",1,NA,NA,NA,0000-0002-2072-6701
journal-article-10.2307_24583173,"uhrqvist, ola",1,NA,NA,NA,0000-0001-5532-4633
journal-article-10.2307_24590987,"usmani, zeeshan-ul-hassan",1,NA,NA,NA,NA
journal-article-10.2307_24590987,"ernst, max",2,NA,NA,NA,NA
journal-article-10.2307_24590987,"sharma, pranav",3,NA,NA,NA,0000-0001-8525-9000
journal-article-10.2307_24590987,"sharma, pranav",3,NA,NA,NA,0000-0003-4883-3231
journal-article-10.2307_24590987,"singh, neil",4,NA,NA,NA,0000-0002-9987-4001
journal-article-10.2307_24643823,"franko, william w.",1,NA,NA,NA,NA
journal-article-10.2307_24643860,"miller, susan m.",1,NA,NA,NA,0000-0002-5976-2742
journal-article-10.2307_24643860,"ringsmuth, eve m.",2,NA,NA,NA,NA
journal-article-10.2307_24643860,"little, joshua m.",3,NA,NA,NA,NA
journal-article-10.2307_24650927,"streeck, wolfgang",1,NA,NA,NA,NA
journal-article-10.2307_24702299,"saxton, gregory d.",1,NA,NA,NA,NA
journal-article-10.2307_24703486,"zhou, wei",1,NA,NA,NA,0000-0002-6820-6430
journal-article-10.2307_24703486,"zhou, wei",1,NA,NA,NA,0000-0002-6814-8357
journal-article-10.2307_24703486,"piramuthu, selwyn",2,NA,NA,NA,0000-0002-1355-9554
journal-article-10.2307_24703624,"decker, catharina",1,NA,NA,NA,NA
journal-article-10.2307_24703624,"van quaquebeke, niels",2,NA,NA,NA,0000-0002-6141-4659
journal-article-10.2307_24703770,"eriksson, david",1,NA,NA,NA,0000-0002-1627-8459
journal-article-10.2307_24703770,"svensson, göran",2,NA,NA,NA,0000-0002-4675-353X
journal-article-10.2307_24704576,"cooper, s. barry",1,NA,NA,NA,0000-0001-9409-8536
journal-article-10.2307_24704576,"cooper, s. barry",1,NA,NA,NA,0000-0001-5214-7723
journal-article-10.2307_24709310,"merke, federico",1,NA,NA,NA,0000-0003-1423-795X
journal-article-10.2307_24709310,"pauselli, gino",2,NA,NA,NA,0000-0002-7497-7354
journal-article-10.2307_24710571,"knoblauch, heidi",1,NA,NA,NA,NA
journal-article-10.2307_24710571,"daniels, jessie",2,NA,NA,NA,NA
journal-article-10.2307_24710574,"conley, dalton",1,NA,NA,NA,0000-0002-5174-7222
journal-article-10.2307_24711106,"herron, michael c.",1,NA,NA,NA,NA
journal-article-10.2307_24711106,"smith, daniel a.",2,NA,NA,NA,0000-0001-9708-253X
journal-article-10.2307_24721428,"chen, chih-cheng",1,NA,NA,NA,0000-0002-8156-729X
journal-article-10.2307_24721428,"chen, chih-cheng",1,NA,NA,NA,0000-0002-9189-0891
journal-article-10.2307_24721428,"chen, chih-cheng",1,NA,NA,NA,0000-0002-6976-7096
journal-article-10.2307_24721428,"chen, chih-cheng",1,NA,NA,NA,0000-0001-7054-903X
journal-article-10.2307_24754193,"lundquist, jennifer h.",1,NA,NA,NA,NA
journal-article-10.2307_24754193,"lin, ken-hou",2,NA,NA,NA,0000-0002-6811-2821
journal-article-10.2307_24754193,"lin, ken-hou",2,NA,NA,NA,0000-0002-4743-1663
journal-article-10.2307_24754273,"lewis, kevin",1,NA,NA,NA,0000-0003-3829-4350
journal-article-10.2307_24754990,"de giacomo, giuseppe",1,NA,NA,NA,0000-0001-9680-7658
journal-article-10.2307_24754990,"de giacomo, giuseppe",1,NA,NA,NA,0000-0003-1711-3047
journal-article-10.2307_24754990,"lespérance, yves",2,NA,NA,NA,NA
journal-article-10.2307_24754990,"patrizi, fabio",3,NA,NA,NA,0000-0002-9116-251X
journal-article-10.2307_24754990,"vassos, stavros",4,NA,NA,NA,0000-0001-7564-5290
journal-article-10.2307_24755765,"martin, kirsten",1,NA,NA,NA,0000-0002-0638-0169
journal-article-10.2307_24756349,"foster, jacob g.",1,NA,NA,NA,NA
journal-article-10.2307_24756349,"rzhetsky, andrey",2,NA,NA,NA,0000-0001-6959-7405
journal-article-10.2307_24756349,"evans, james a.",3,NA,NA,NA,0000-0002-4080-8077
journal-article-10.2307_24756400,"goldstein, joshua r.",1,NA,NA,NA,NA
journal-article-10.2307_24756400,"stecklov, guy",2,NA,NA,NA,0000-0001-7831-2731
journal-article-10.2307_24756425,"curington, celeste vaughan",1,NA,NA,NA,NA
journal-article-10.2307_24756425,"lin, ken-hou",2,NA,NA,NA,0000-0002-6811-2821
journal-article-10.2307_24756425,"lin, ken-hou",2,NA,NA,NA,0000-0002-4743-1663
journal-article-10.2307_24756425,"lundquist, jennifer hickes",3,NA,NA,NA,NA
journal-article-10.2307_24756428,"lichter, daniel t.",1,NA,NA,NA,0000-0002-0292-1415
journal-article-10.2307_24756428,"parisi, domenico",2,NA,NA,NA,0000-0002-7755-9115
journal-article-10.2307_24756428,"taquino, michael c.",3,NA,NA,NA,NA
journal-article-10.2307_24758652,"starbuck, william h.",1,NA,NA,NA,NA
journal-article-10.2307_24758661,"barley, stephen r.",1,NA,NA,NA,NA
journal-article-10.2307_24787721,"drew, james",1,NA,NA,NA,0000-0002-2864-7987
journal-article-10.2307_24787732,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24788109,"maucione, scott",1,NA,NA,NA,NA
journal-article-10.2307_24788142,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24788143,"sherman, jason",1,NA,NA,NA,0000-0002-6686-5993
journal-article-10.2307_24788408,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24788409,"albon, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24788410,"albon, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24788478,"sherman, jason",1,NA,NA,NA,0000-0002-6686-5993
journal-article-10.2307_24788524,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24788525,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24788604,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24788605,"hudson, lee",1,NA,NA,NA,0000-0003-0883-8791
journal-article-10.2307_24788616,"maucione, scott",1,NA,NA,NA,NA
journal-article-10.2307_24788720,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24788738,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24788740,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24788996,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24788997,"albon, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24789268,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24789279,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24789468,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24789469,"caporal, jack",1,NA,NA,NA,NA
journal-article-10.2307_24797814,"muñoz, carlo",1,NA,NA,NA,NA
journal-article-10.2307_24797815,"muñoz, carlo",1,NA,NA,NA,NA
journal-article-10.2307_24797816,"ledbetter, titus",1,NA,NA,NA,NA
journal-article-10.2307_24797817,"weisgerber, marcus",1,NA,NA,NA,NA
journal-article-10.2307_24802860,"drew, james",1,NA,NA,NA,0000-0002-2864-7987
journal-article-10.2307_24802861,"albon, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24803197,"drew, james",1,NA,NA,NA,0000-0002-2864-7987
journal-article-10.2307_24803207,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24803343,"drew, james",1,NA,NA,NA,0000-0002-2864-7987
journal-article-10.2307_24803345,"drew, james",1,NA,NA,NA,0000-0002-2864-7987
journal-article-10.2307_24803518,"albon, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24803526,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24803898,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24804091,"albon, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24804100,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24804218,"maucione, scott",1,NA,NA,NA,NA
journal-article-10.2307_24804219,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24804409,"albon, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24804410,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24804416,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24804556,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24804557,"sherman, jason",1,NA,NA,NA,0000-0002-6686-5993
journal-article-10.2307_24804595,"karas, rachel s.",1,NA,NA,NA,NA
journal-article-10.2307_24805189,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24805190,"censer, marjorie",1,NA,NA,NA,NA
journal-article-10.2307_24812006,"weaver, andrew",1,NA,NA,NA,0000-0002-4703-8458
journal-article-10.2307_24812006,"weaver, andrew",1,NA,NA,NA,0000-0002-2278-0517
journal-article-10.2307_24836868,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24836869,"sprenger, sebastian",1,NA,NA,NA,NA
journal-article-10.2307_24836931,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24836942,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24837434,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24837435,"mitchell, ellen",1,NA,NA,NA,0000-0002-4485-7757
journal-article-10.2307_24837436,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24837437,"mitchell, ellen",1,NA,NA,NA,0000-0002-4485-7757
journal-article-10.2307_24837450,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24837651,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24837652,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24837728,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24837731,"mitchell, ellen",1,NA,NA,NA,0000-0002-4485-7757
journal-article-10.2307_24837732,"mitchell, ellen",1,NA,NA,NA,0000-0002-4485-7757
journal-article-10.2307_24837739,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24837892,"doubleday, justin",1,NA,NA,NA,NA
journal-article-10.2307_24837905,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24837927,"sprenger, sebastian",1,NA,NA,NA,NA
journal-article-10.2307_24837928,"censer, marjorie",1,NA,NA,NA,NA
journal-article-10.2307_24840683,"sprenger, sebastian",1,NA,NA,NA,NA
journal-article-10.2307_24840684,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24840701,"sprenger, sebastian",1,NA,NA,NA,NA
journal-article-10.2307_24840721,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24840723,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24840737,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24840743,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24840745,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24840856,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24840857,"bertuca, tony",1,NA,NA,NA,NA
journal-article-10.2307_24841058,"censer, marjorie",1,NA,NA,NA,NA
journal-article-10.2307_24841059,"mishory, jordana",1,NA,NA,NA,NA
journal-article-10.2307_24841079,"mcbride, courtney",1,NA,NA,NA,NA
journal-article-10.2307_24841089,"bertuca, tony",1,NA,NA,NA,NA
