document,topic,gamma
scopus_2652,1,0.003526492398209905
scopus_2664,1,0.0076152808302213555
scopus_2678,1,0.01180138762952689
scopus_2695,1,0.03728131116311235
scopus_2696,1,0.0013984643949985893
scopus_2714,1,0.13744151524940548
scopus_2735,1,0.0555564940497712
scopus_2736,1,0.005459649244720178
scopus_2744,1,0.0147171241616225
scopus_2762,1,0.009867401060268087
scopus_2769,1,0.013050820824038719
scopus_2789,1,0.07091650853154448
scopus_2876,1,0.14962393029054347
scopus_2892,1,0.005166253352873277
scopus_29,1,0.07044663061391708
scopus_2903,1,0.2561519580391868
scopus_2913,1,0.05194050543634415
scopus_2915,1,0.0060650456230882995
scopus_2928,1,0.028468221283263186
scopus_2932,1,0.016411764510129823
scopus_2939,1,0.0031505070746150094
scopus_2988,1,0.002183813415016738
scopus_303,1,0.01123815134465433
scopus_3050,1,0.006597213862914706
scopus_3057,1,0.015870472740503523
scopus_3087,1,0.0023554344531802624
scopus_3095,1,0.004810546934989402
scopus_3118,1,0.004916913559661347
scopus_3137,1,0.04698108820092073
scopus_3155,1,0.2903939250372005
scopus_3174,1,0.00236542180241306
scopus_3176,1,0.00117470763117087
scopus_3184,1,0.005644718991863685
scopus_3190,1,0.008578335505296037
scopus_3204,1,0.004476345101641284
scopus_3218,1,0.0021728323884643236
scopus_3226,1,0.04630758079881486
scopus_3240,1,0.011029916993116652
scopus_3245,1,0.3715744047615782
scopus_3249,1,0.0345208533122375
scopus_3254,1,0.014685472352299762
scopus_3266,1,0.09490116694085317
scopus_3267,1,0.007028964047299546
scopus_3298,1,0.016399463439992924
scopus_3299,1,0.0038286752990585407
scopus_3372,1,0.006661706200165402
scopus_3383,1,0.005844018373991435
scopus_3384,1,0.002446657298165085
scopus_3388,1,0.009621978399983074
scopus_3392,1,0.2838689733466332
scopus_3399,1,0.008942072857794433
scopus_3413,1,0.013519377348296906
scopus_3415,1,0.0058164344076800135
scopus_344,1,0.017591533428911316
scopus_3446,1,0.006472272381785945
scopus_3448,1,0.2500219982266143
scopus_3513,1,0.007721226799335343
scopus_3529,1,0.029397353730921078
scopus_3567,1,0.006471636917909187
scopus_3573,1,0.49113513697007966
scopus_3576,1,0.018092691016151012
scopus_3577,1,0.023123710874473766
scopus_3603,1,0.009415318429373896
scopus_3606,1,0.018545265006988484
scopus_3635,1,0.0040266831962904575
